Countries,Balance 2016,Balance 2017,Balance 2018,Balance 2019,Balance 2020,Exported 2020,Imported 2020
World,-136103,669973,621599,906406,-3479041,60484795,63963836
France,5772428,6826712,7623363,7982568,7249903,8950761,1700858
Republic of Korea,2491548,2913895,3859659,4289310,5232173,6115434,883261
Japan,822642,1393379,2508248,2887906,3872159,5260979,1388820
Singapore,1104503,1655255,2324770,3053634,3341770,6236091,2894321
Germany,982899,963356,1159084,1214765,1175327,3361866,2186539
Switzerland,369003,585777,870932,929276,1106649,1638189,531540
Poland,562308,523036,789372,775721,933821,1954336,1020515
Italy,818466,922167,1137071,1107364,823764,1828187,1004423
United States of America,122241,417444,425832,987572,593531,5081837,4488306
Spain,-144771,-109223,-21323,22184,134975,1104431,969456
Israel,85161,121827,136284,124831,125453,249780,124327
South Africa,49891,62320,64619,38906,115636,270332,154696
Netherlands,-148458,-21087,36904,71899,75506,1083410,1007904
Senegal,22092,26939,45040,45273,52732,60069,7337
United Kingdom,-393400,-408891,-275635,-123275,33387,2040434,2007047
Czech Republic,-49130,-81816,-109535,-14176,27154,849309,822155
Republic of Ivory Coast,133367,148537,165299,144969,20338,28510,8172
Colombia,36806,50765,53353,48153,19291,143282,123991
Luxembourg,19180,26414,19998,16664,13326,89779,76453
Lebanon,-32350,-44126,-42795,-27906,11131,37424,26293
India,55014,25491,-20009,-53913,3616,141832,138216
Kenya,555,1033,940,751,2273,11703,9430
Free Zones,6793,9305,6481,3766,1768,4341,2573
Togo,43224,48347,60258,70252,1086,3371,2285
United States Minor Outlying Islands,-11781,-13985,-14022,-14280,815,2765,1950
French Southern and Antarctic Territories,-14,-34,-108,-53,249,297,48
Sint Maarten (Dutch part),-125,-104,-349,-36,52,106,54
Tokelau,11,71,15,0,19,19,
Saint Helena,-13,-8,-17,43,2,6,4
Tuvalu,-64,-1,-23,-22,-1,,1
Eritrea,-3,-8,-75,-71,-2,,2
Christmas Island,-8,-34,-36,-44,-3,1,4
Palau,-350,-325,-300,-7,-10,,10
Guam,-183,-87,-138,-137,-12,,12
Montserrat,-11,-3,-69,-1,-14,3,17
Niue,-9,-8,-11,-10,-25,,25
