"Country or Area","Year","Unit","Value","Value Footnotes"
"Azerbaijan","2016","Mil. USD","1.56668935376986",""
"Azerbaijan","2015","Mil. USD","19.8133094528102",""
"Azerbaijan","2014","Mil. USD","1.14745058790906",""
"Azerbaijan","2013","Mil. USD","0.382389156616178",""
"Azerbaijan","2012","Mil. USD","0.152740670583332",""
"Azerbaijan","2011","Mil. USD","0.177285569592699",""
"Azerbaijan","2010","Mil. USD","0.373763853920627",""
"Azerbaijan","2009","Mil. USD","0.115702822070624",""
"Azerbaijan","2008","Mil. USD","0.0985857714260818",""
"Azerbaijan","2007","Mil. USD","0.174799951427751",""
"Azerbaijan","2006","Mil. USD","0.0335778923156993",""
"Belarus","2016","Thousand metric tons","4.723174",""
"Belarus","2015","Thousand metric tons","4.251992",""
"Belarus","2014","Thousand metric tons","4.218274",""
"Belarus","2013","Thousand metric tons","4.144201",""
"Belarus","2012","Thousand metric tons","4.504672",""
"Belarus","2011","Thousand metric tons","4.763738",""
"Belarus","2010","Mil. USD","30.3097856659894",""
"Belarus","2009","Mil. USD","25.9687502021358",""
"Belarus","2008","Mil. USD","29.3456624996051",""
"Belarus","2007","Mil. USD","28.7491835883593",""
"Belarus","2006","Mil. USD","21.9918810232226",""
"Belarus","2005","Mil. USD","16.5807727665265",""
"Belarus","2004","Mil. USD","11.8606230970151",""
"Belarus","2003","Mil. USD","6.45356029290786",""
"Belarus","2002","Mil. USD","4.43013354427434",""
"Belarus","2001","Mil. USD","3.36187050359712",""
"Bolivia (Plurinational State of)","1999","Mil. USD","0",""
"Bolivia (Plurinational State of)","1998","Mil. USD","0",""
"Bolivia (Plurinational State of)","1997","Mil. USD","0.190321818334653",""
"Bolivia (Plurinational State of)","1996","Mil. USD","0.197059381381337",""
"Bolivia (Plurinational State of)","1995","Mil. USD","0.208318505106407",""
"Bosnia and Herzegovina","2016","Mil. USD","1.70084476343756",""
"Bosnia and Herzegovina","2014","Mil. USD","1.58801311317871",""
"Brazil","2015","Mil. USD","771.444244583046",""
"Brazil","2014","Mil. USD","1084.83641151156",""
"Brazil","2013","Mil. USD","1186.46214365187",""
"Brazil","2012","Mil. USD","1087.0321760384",""
"Brazil","2011","Mil. USD","1123.78505635229",""
"Brazil","2010","Mil. USD","1046.76673501925",""
"Brazil","2009","Mil. USD","741.562022539842",""
"Brazil","2008","Mil. USD","741.086943449729",""
"Brazil","2007","Mil. USD","643.294925250486",""
"Brazil","2006","Mil. USD","568.399163650516",""
"Brazil","2005","Mil. USD","418.075188384914",""
"Brazil","2004","Mil. USD","280.724569431142",""
"Brazil","2003","Mil. USD","192.389447661342",""
"Brazil","2002","Mil. USD","141.890020828388",""
"Brazil","2001","Mil. USD","188.847154546258",""
"Brazil","2000","Mil. USD","195.162703251569",""
"Bulgaria","2016","Mil. USD","36.9315051894645",""
"Bulgaria","2015","Mil. USD","31.1720698254364",""
"Bulgaria","2014","Mil. USD","29.8471115627371",""
"Bulgaria","2013","Mil. USD","33.9312778442484",""
"Bulgaria","2012","Mil. USD","27.594362447457",""
"Bulgaria","2011","Mil. USD","24.1741956503977",""
"Bulgaria","2010","Mil. USD","20.9829259900613",""
"Bulgaria","2009","Mil. USD","19.1939716711195",""
"Bulgaria","2008","Mil. USD","17.9490695152504",""
"Bulgaria","2007","Mil. USD","14.695077149155",""
"Bulgaria","2006","Mil. USD","13.4678695113087",""
"Bulgaria","2005","Mil. USD","12.0701338302558",""
"Bulgaria","2004","Mil. USD","12.6975346202249",""
"Bulgaria","2003","Mil. USD","9.81126776007793",""
"Bulgaria","2002","Mil. USD","6.25910278168972",""
"Bulgaria","2001","Mil. USD","8.23908607174872",""
"Bulgaria","2000","Mil. USD","9.41941105132402",""
"Bulgaria","1999","Mil. USD","8.16822921866351",""
"Bulgaria","1998","Mil. USD","11.3613232154438",""
"Canada","2016","Mil. USD","803.380332300016",""
"Canada","2014","Mil. USD","1209.66098855083",""
"Canada","2013","Mil. USD","1578.62149414617",""
"Canada","2012","Mil. USD","1141.92689755505",""
"Canada","2011","Mil. USD","1042.91864636899",""
"Canada","2010","Mil. USD","960.042448014153",""
"Canada","2008","Mil. USD","959.664117558854",""
"Canada","2007","Mil. USD","906.806401333207",""
"Canada","2006","Mil. USD","863.039179098998",""
"Canada","2005","Mil. USD","776.554277650478",""
"Canada","2004","Mil. USD","828.5811828291",""
"Canada","2003","Mil. USD","564.647270919106",""
"Canada","2002","Mil. USD","450.25918896846",""
"Canada","2000","Mil. USD","336.204052225088",""
"Canada","1999","Mil. USD","347.236322395587",""
"Canada","1997","Mil. USD","355.549670787341",""
"Canada","1996","Mil. USD","382.480463425994",""
"Canada","1995","Mil. USD","388.86922265623",""
"Chile","2016","Mil. USD","76.0592760506917",""
"Chile","2015","Mil. USD","117.949333852406",""
"Chile","2014","Mil. USD","153.449239481193",""
"Chile","2013","Mil. USD","154.749439079722",""
"Chile","2012","Mil. USD","187.808196432125",""
"Chile","2011","Mil. USD","162.167187620376",""
"Chile","2010","Mil. USD","130.503346894246",""
"Croatia","2016","Mil. USD","17.7813839030779","1"
"Cyprus","2016","Mil. USD","2.48220443044554",""
"Cyprus","2015","Mil. USD","2.8835736232609",""
"Cyprus","2014","Mil. USD","3.84752784733522",""
"Cyprus","2013","Mil. USD","4.24876981716197",""
"Cyprus","2012","Mil. USD","4.49701752236245",""
"Cyprus","2011","Mil. USD","4.66667910471135",""
"Cyprus","2010","Mil. USD","4.84077138767389",""
"Cyprus","2009","Mil. USD","3.43408043763329",""
