Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,share
2019,as,Asia,asare,United Arab Emirates,are,755874479,0.01333652
2019,as,Asia,aschn,China,chn,3088588165,0.05449452
2019,as,Asia,ashkg,Hong Kong,hkg,279923175,0.004938916
2019,as,Asia,asjpn,Japan,jpn,4487980715,0.079185162
2019,as,Asia,askor,South Korea,kor,5405363377,0.095371304
2019,as,Asia,assgp,Singapore,sgp,2556327950,0.045103412
2019,as,Asia,astha,Thailand,tha,907179615,0.016006122
2019,as,Asia,asxxb,Chinese Taipei,,514667603,0.009080707
2019,eu,Europe,eubel,Belgium,bel,1349338224,0.023807492
2019,eu,Europe,euche,Switzerland,che,1420696359,0.025066523
2019,eu,Europe,eucze,Czechia,cze,616392479,0.010875523
2019,eu,Europe,eudeu,Germany,deu,3772730816,0.066565416
2019,eu,Europe,euesp,Spain,esp,1183662228,0.020884333
2019,eu,Europe,eufra,France,fra,10052717392,0.177368422
2019,eu,Europe,eugbr,United Kingdom,gbr,2265330675,0.039969106
2019,eu,Europe,euirl,Ireland,irl,156703663,0.002764853
2019,eu,Europe,euita,Italy,ita,2403286375,0.042403173
2019,eu,Europe,eunld,Netherlands,nld,973242371,0.017171721
2019,eu,Europe,eupol,Poland,pol,1655493225,0.029209239
2019,eu,Europe,euswe,Sweden,swe,236173359,0.004167002
2019,na,North America,nacan,Canada,can,1297965029,0.022901072
2019,na,North America,namex,Mexico,mex,338027047,0.005964091
2019,na,North America,nausa,United States,usa,6149306477,0.108497309
2018,as,Asia,asare,United Arab Emirates,are,603399269,0.011200521
2018,as,Asia,aschn,China,chn,2967048914,0.055075461
2018,as,Asia,ashkg,Hong Kong,hkg,255230497,0.004737683
2018,as,Asia,asjpn,Japan,jpn,3950825127,0.07333668
2018,as,Asia,askor,South Korea,kor,4998199437,0.09277843
2018,as,Asia,assgp,Singapore,sgp,2329846285,0.04324747
2018,as,Asia,astha,Thailand,tha,612535568,0.011370112
2018,as,Asia,asxxb,Chinese Taipei,,593241421,0.011011967
2018,eu,Europe,eubel,Belgium,bel,1275879849,0.023683355
2018,eu,Europe,euche,Switzerland,che,1346156286,0.024987852
2018,eu,Europe,eucze,Czechia,cze,415873967,0.007719607
2018,eu,Europe,eudeu,Germany,deu,3838283702,0.071247644
2018,eu,Europe,euesp,Spain,esp,1098250871,0.02038614
2018,eu,Europe,eufra,France,fra,9624534678,0.178654179
2018,eu,Europe,eugbr,United Kingdom,gbr,2222994877,0.041264055
2018,eu,Europe,euirl,Ireland,irl,234129029,0.00434599
2018,eu,Europe,euita,Italy,ita,2443116327,0.045350031
2018,eu,Europe,eunld,Netherlands,nld,983266665,0.01825176
2018,eu,Europe,eupol,Poland,pol,1646359459,0.030560334
2018,eu,Europe,euswe,Sweden,swe,233539256,0.004335042
2018,na,North America,nacan,Canada,can,1317287733,0.024451983
2018,na,North America,namex,Mexico,mex,317357482,0.005890907
2018,na,North America,nausa,United States,usa,5870705290,0.108974207
2017,as,Asia,asare,United Arab Emirates,are,424670780,0.009178935
2017,as,Asia,aschn,China,chn,2558697091,0.055304289
2017,as,Asia,ashkg,Hong Kong,hkg,515018687,0.011131737
2017,as,Asia,asjpn,Japan,jpn,2680790989,0.057943256
2017,as,Asia,askor,South Korea,kor,3925275008,0.08484183
2017,as,Asia,assgp,Singapore,sgp,1677980848,0.036268278
2017,as,Asia,astha,Thailand,tha,412184901,0.008909063
2017,as,Asia,asxxb,Chinese Taipei,,539625458,0.011663593
2017,eu,Europe,eubel,Belgium,bel,1190853387,0.025739389
2017,eu,Europe,euche,Switzerland,che,1028664661,0.022233803
2017,eu,Europe,eucze,Czechia,cze,273621356,0.005914117
2017,eu,Europe,eudeu,Germany,deu,3469330374,0.074986934
2017,eu,Europe,euesp,Spain,esp,907246128,0.019609434
2017,eu,Europe,eufra,France,fra,8589528274,0.185656112
2017,eu,Europe,eugbr,United Kingdom,gbr,2098946219,0.045367124
2017,eu,Europe,euirl,Ireland,irl,362922943,0.007844303
2017,eu,Europe,euita,Italy,ita,2146076794,0.046385815
2017,eu,Europe,eunld,Netherlands,nld,861061583,0.01861119
2017,eu,Europe,eupol,Poland,pol,1382191274,0.029875012
2017,eu,Europe,euswe,Sweden,swe,204243847,0.004414575
2017,na,North America,nacan,Canada,can,1131125683,0.02444842
2017,na,North America,namex,Mexico,mex,308416659,0.006666191
2017,na,North America,nausa,United States,usa,5309552898,0.114761942
2016,as,Asia,asare,United Arab Emirates,are,202323790,0.005054178
2016,as,Asia,aschn,China,chn,2082637932,0.052025632
2016,as,Asia,ashkg,Hong Kong,hkg,157981009,0.003946467
2016,as,Asia,asjpn,Japan,jpn,2035319778,0.050843594
2016,as,Asia,askor,South Korea,kor,3425254127,0.085565046
2016,as,Asia,assgp,Singapore,sgp,1201763487,0.030020823
2016,as,Asia,astha,Thailand,tha,391329400,0.00977566
2016,as,Asia,asxxb,Chinese Taipei,,483370433,0.012074904
2016,eu,Europe,eubel,Belgium,bel,1155699288,0.02887011
2016,eu,Europe,euche,Switzerland,che,821492629,0.020521413
2016,eu,Europe,eucze,Czechia,cze,291318086,0.007277313
2016,eu,Europe,eudeu,Germany,deu,3224383537,0.08054717
2016,eu,Europe,euesp,Spain,esp,730181142,0.018240394
