Countries,Balance2016,Balance2017,Balance2018,Balance2019,Balance2020,Exported2020,Imported2020
World,-136103000,669973000,621599000,906406000,-3479041000,60484795000,63963836000
France,5772428000,6826712000,7623363000,7982568000,7249903000,8950761000,1700858000
Republic of Korea,2491548000,2913895000,3859659000,4289310000,5232173000,6115434000,883261000
Japan,822642000,1393379000,2508248000,2887906000,3872159000,5260979000,1388820000
Singapore,1104503000,1655255000,2324770000,3053634000,3341770000,6236091000,2894321000
Germany,982899000,963356000,1159084000,1214765000,1175327000,3361866000,2186539000
Switzerland,369003000,585777000,870932000,929276000,1106649000,1638189000,531540000
Poland,562308000,523036000,789372000,775721000,933821000,1954336000,1020515000
Italy,818466000,922167000,1137071000,1107364000,823764000,1828187000,1004423000
United States,122241000,417444000,425832000,987572000,593531000,5081837000,4488306000
Spain,-144771000,-109223000,-21323000,22184000,134975000,1104431000,969456000
Israel,85161000,121827000,136284000,124831000,125453000,249780000,124327000
South Africa,49891000,62320000,64619000,38906000,115636000,270332000,154696000
Netherlands,-148458000,-21087000,36904000,71899000,75506000,1083410000,1007904000
Senegal,22092000,26939000,45040000,45273000,52732000,60069000,7337000
United Kingdom,-393400000,-408891000,-275635000,-123275000,33387000,2040434000,2007047000
Czech Republic,-49130000,-81816000,-109535000,-14176000,27154000,849309000,822155000
Côte d'Ivoire,133367000,148537000,165299000,144969000,20338000,28510000,8172000
Colombia,36806000,50765000,53353000,48153000,19291000,143282000,123991000
Luxembourg,19180000,26414000,19998000,16664000,13326000,89779000,76453000
Lebanon,-32350000,-44126000,-42795000,-27906000,11131000,37424000,26293000
India,55014000,25491000,-20009000,-53913000,3616000,141832000,138216000
Kenya,555000,1033000,940000,751000,2273000,11703000,9430000
Free Zones,6793000,9305000,6481000,3766000,1768000,4341000,2573000
Togo,43224000,48347000,60258000,70252000,1086000,3371000,2285000
United States Minor Outlying Islands,-11781000,-13985000,-14022000,-14280000,815000,2765000,1950000
French Southern and Antarctic Territories,-14000,-34000,-108000,-53000,249000,297000,48000
Sint Maarten (Dutch part),-125000,-104000,-349000,-36000,52000,106000,54000
Tokelau,11000,71000,15000,0,19000,19000,
Saint Helena,-13000,-8000,-17000,43000,2000,6000,4000
Tuvalu,-64000,-1000,-23000,-22000,-1000,,1000
Eritrea,-3000,-8000,-75000,-71000,-2000,,2000
Christmas Island,-8000,-34000,-36000,-44000,-3000,1000,4000
Palau,-350000,-325000,-300000,-7000,-10000,,10000
Guam,-183000,-87000,-138000,-137000,-12000,,12000
Montserrat,-11000,-3000,-69000,-1000,-14000,3000,17000
Niue,-9000,-8000,-11000,-10000,-25000,,25000
Marshall Islands,-25000,-163000,-46000,-31000,-25000,,25000
Northern Mariana Islands,-310000,-206000,-459000,-74000,-26000,,26000
Norfolk Island,-64000,-9000,-15000,-24000,-26000,,26000
Wallis and Futuna Islands,-89000,-62000,-39000,-218000,-32000,,32000
Falkland Islands,-46000,-41000,-21000,,-43000,,43000
Nauru,-25000,-46000,-50000,4000,-45000,,45000
Comoros,-61000,-60000,-69000,-73000,-59000,9000,68000
Solomon Islands,-259000,-370000,-300000,-146000,-75000,1000,76000
Central African Republic,-1000,-157000,-86000,-101000,-79000,,79000
Tonga,-2880000,-134000,-153000,-127000,-86000,1000,87000
Sao Tome and Principe,-129000,-125000,-135000,-104000,-108000,1000,109000
Cook Islands,-347000,44000,-382000,-203000,-111000,7000,118000
Federated States of Micronesia,,-1000,-21000,-41000,-122000,4000,126000
Saint Kitts and Nevis,-817000,-714000,-134000,-379000,-130000,2000,132000
Anguilla,-906000,-561000,-326000,-213000,-131000,1000,132000
British Virgin Islands,-1015000,-839000,-828000,37000,-136000,758000,894000
St. Pierre and Miquelon,-170000,-162000,-196000,-123000,-150000,,150000
Dominica,-254000,-43000,-112000,-280000,-160000,1000,161000
Saint Vincent and the Grenadines,-726000,-624000,-709000,-672000,-192000,1000,193000
Turks and Caicos Islands,-409000,-273000,-374000,-432000,-206000,54000,260000
Vanuatu,-290000,-48000,-12000,-259000,-212000,58000,270000
Gambia,-86000,-91000,-164000,-103000,-235000,,235000
Liberia,,-574000,-2998000,-2400000,-270000,2000,272000
Demo. Rep. Korea,-3542000,-2520000,-3323000,-3421000,-287000,314000,601000
Kiribati,-70000,-90000,-167000,-139000,-361000,,361000
Antigua and Barbuda,-1979000,-1707000,-1810000,-1722000,-453000,2000,455000
Uganda,5048000,-4165000,-5826000,-6892000,-455000,11020000,11475000
Saint Lucia,-2780000,-1819000,-1754000,-1927000,-467000,16000,483000
Chad,-1510000,-2463000,-2397000,-4472000,-560000,6000,566000
Sudan (before 2012),,,,,-581000,,581000
