Country,Type,Amount,
World,Balance2016,-136103,-136103000
World,Balance2017,669973,669973000
World,Balance2018,621599,621599000
World,Balance2019,906406,906406000
World,Balance2020,-3479041,-3479041000
World,Exported2020,60484795,60484795000
World,Imported2020,63963836,63963836000
France,Balance2016,5772428,5772428000
France,Balance2017,6826712,6826712000
France,Balance2018,7623363,7623363000
France,Balance2019,7982568,7982568000
France,Balance2020,7249903,7249903000
France,Exported2020,8950761,8950761000
France,Imported2020,1700858,1700858000
Republic of Korea,Balance2016,2491548,2491548000
Republic of Korea,Balance2017,2913895,2913895000
Republic of Korea,Balance2018,3859659,3859659000
Republic of Korea,Balance2019,4289310,4289310000
Republic of Korea,Balance2020,5232173,5232173000
Republic of Korea,Exported2020,6115434,6115434000
Republic of Korea,Imported2020,883261,883261000
Japan,Balance2016,822642,822642000
Japan,Balance2017,1393379,1393379000
Japan,Balance2018,2508248,2508248000
Japan,Balance2019,2887906,2887906000
Japan,Balance2020,3872159,3872159000
Japan,Exported2020,5260979,5260979000
Japan,Imported2020,1388820,1388820000
Singapore,Balance2016,1104503,1104503000
Singapore,Balance2017,1655255,1655255000
Singapore,Balance2018,2324770,2324770000
Singapore,Balance2019,3053634,3053634000
Singapore,Balance2020,3341770,3341770000
Singapore,Exported2020,6236091,6236091000
Singapore,Imported2020,2894321,2894321000
Germany,Balance2016,982899,982899000
Germany,Balance2017,963356,963356000
Germany,Balance2018,1159084,1159084000
Germany,Balance2019,1214765,1214765000
Germany,Balance2020,1175327,1175327000
Germany,Exported2020,3361866,3361866000
Germany,Imported2020,2186539,2186539000
Switzerland,Balance2016,369003,369003000
Switzerland,Balance2017,585777,585777000
Switzerland,Balance2018,870932,870932000
Switzerland,Balance2019,929276,929276000
Switzerland,Balance2020,1106649,1106649000
Switzerland,Exported2020,1638189,1638189000
Switzerland,Imported2020,531540,531540000
Poland,Balance2016,562308,562308000
Poland,Balance2017,523036,523036000
Poland,Balance2018,789372,789372000
Poland,Balance2019,775721,775721000
Poland,Balance2020,933821,933821000
Poland,Exported2020,1954336,1954336000
Poland,Imported2020,1020515,1020515000
Italy,Balance2016,818466,818466000
Italy,Balance2017,922167,922167000
Italy,Balance2018,1137071,1137071000
Italy,Balance2019,1107364,1107364000
Italy,Balance2020,823764,823764000
Italy,Exported2020,1828187,1828187000
Italy,Imported2020,1004423,1004423000
United States,Balance2016,122241,122241000
United States,Balance2017,417444,417444000
United States,Balance2018,425832,425832000
United States,Balance2019,987572,987572000
United States,Balance2020,593531,593531000
United States,Exported2020,5081837,5081837000
United States,Imported2020,4488306,4488306000
Spain,Balance2016,-144771,-144771000
Spain,Balance2017,-109223,-109223000
Spain,Balance2018,-21323,-21323000
Spain,Balance2019,22184,22184000
Spain,Balance2020,134975,134975000
Spain,Exported2020,1104431,1104431000
Spain,Imported2020,969456,969456000
Israel,Balance2016,85161,85161000
Israel,Balance2017,121827,121827000
Israel,Balance2018,136284,136284000
Israel,Balance2019,124831,124831000
Israel,Balance2020,125453,125453000
Israel,Exported2020,249780,249780000
Israel,Imported2020,124327,124327000
South Africa,Balance2016,49891,49891000
South Africa,Balance2017,62320,62320000
South Africa,Balance2018,64619,64619000
South Africa,Balance2019,38906,38906000
South Africa,Balance2020,115636,115636000
South Africa,Exported2020,270332,270332000
South Africa,Imported2020,154696,154696000
Netherlands,Balance2016,-148458,-148458000
Netherlands,Balance2017,-21087,-21087000
Netherlands,Balance2018,36904,36904000
Netherlands,Balance2019,71899,71899000
Netherlands,Balance2020,75506,75506000
Netherlands,Exported2020,1083410,1083410000
Netherlands,Imported2020,1007904,1007904000
Senegal,Balance2016,22092,22092000
Senegal,Balance2017,26939,26939000
Senegal,Balance2018,45040,45040000
Senegal,Balance2019,45273,45273000
Senegal,Balance2020,52732,52732000
Senegal,Exported2020,60069,60069000
Senegal,Imported2020,7337,7337000
United Kingdom,Balance2016,-393400,-393400000
United Kingdom,Balance2017,-408891,-408891000
United Kingdom,Balance2018,-275635,-275635000
United Kingdom,Balance2019,-123275,-123275000
United Kingdom,Balance2020,33387,33387000
United Kingdom,Exported2020,2040434,2040434000
United Kingdom,Imported2020,2007047,2007047000
Czech Republic,Balance2016,-49130,-49130000
Czech Republic,Balance2017,-81816,-81816000
Czech Republic,Balance2018,-109535,-109535000
Czech Republic,Balance2019,-14176,-14176000
Czech Republic,Balance2020,27154,27154000
Czech Republic,Exported2020,849309,849309000
Czech Republic,Imported2020,822155,822155000
Côte d'Ivoire,Balance2016,133367,133367000
Côte d'Ivoire,Balance2017,148537,148537000
Côte d'Ivoire,Balance2018,165299,165299000
Côte d'Ivoire,Balance2019,144969,144969000
Côte d'Ivoire,Balance2020,20338,20338000
Côte d'Ivoire,Exported2020,28510,28510000
Côte d'Ivoire,Imported2020,8172,8172000
Colombia,Balance2016,36806,36806000
Colombia,Balance2017,50765,50765000
Colombia,Balance2018,53353,53353000
Colombia,Balance2019,48153,48153000
Colombia,Balance2020,19291,19291000
Colombia,Exported2020,143282,143282000
Colombia,Imported2020,123991,123991000
Luxembourg,Balance2016,19180,19180000
Luxembourg,Balance2017,26414,26414000
Luxembourg,Balance2018,19998,19998000
Luxembourg,Balance2019,16664,16664000
Luxembourg,Balance2020,13326,13326000
Luxembourg,Exported2020,89779,89779000
Luxembourg,Imported2020,76453,76453000
Lebanon,Balance2016,-32350,-32350000
